Percentile,Year,Lower Bound,1,2,3,4,5,6,7,7.1,7_other,8,9,10,11,12
Perc_10,2019,0,32.8,9.5,8.3,52.5,16,3.6,21.6,7.1,14.5,11.1,24.1,5.5,14.7,16.8
Perc_20,2019,220,41.1,7.7,10.9,58.8,17.3,4.9,30.9,7.8,23.1,12.6,33,10.1,19.4,20.8
Perc_30,2019,329,46.3,9.8,14.7,71.9,22.6,4,43,11.6,31.4,15.9,37.5,8.6,27.2,30.1
Perc_40,2019,431,52.1,11.1,16.2,79.1,31.4,9.6,54.3,18.4,35.9,18.1,45.8,13.9,30.7,34.4
Perc_50,2019,544,58.2,11.4,19.3,78.6,37.9,8.1,70.3,25.1,45.2,22.1,70.2,22.3,44.3,41.6
Perc_60,2019,679,66,13.9,23.7,81.4,42.4,7.2,87.8,32.3,55.5,22.4,73.7,27.7,48,45
Perc_70,2019,836,67,13.3,25.3,81.1,37.5,8,103.8,40,63.8,23.1,93.2,35.6,57,45.1
Perc_80,2019,1024,73.4,17.4,31.4,94.3,44.2,8.8,120.1,44,76.1,26.9,101.1,43.3,68.7,55.3
Perc_90,2019,1273,83.3,15.5,41,92.4,67.4,12.9,130.9,38,92.9,27.8,128.3,47.9,85.5,69.9
Perc_100,2019,1723,98.9,20.2,54.2,103.8,93.1,13.1,187.9,63.2,124.7,33.5,164.7,68.7,118.6,98
All,2019,0,61.9,13,24.5,79.4,41,8,85,28.8,56.2,21.3,77.2,28.4,51.4,45.7
Perc_10,2018,0,30.6,7.3,7.6,50.5,13.7,1.8,16.5,3.1,13.4,8.4,22.9,..,13.3,13.4
Perc_20,2018,216,40,8.2,9.7,53.3,18.5,2.8,26.6,6.8,19.8,11,30.5,..,18.1,19.6
Perc_30,2018,322,48.4,9.4,13.5,66.9,26.5,5,39.3,11.2,28.1,13.9,46.8,0.9,25.3,27
Perc_40,2018,432,52.7,9.9,15.6,69.7,28,4.5,56.1,21.4,34.7,14.8,48.4,4.5,30.5,36.9
Perc_50,2018,548,56.6,12.3,19.7,80.5,33.6,6.9,63.6,21.8,41.8,16.9,61,1.4,40.2,36.8
Perc_60,2018,681,63.6,13.2,23.7,86.4,37.1,6,77.7,23.1,54.6,18.2,80.1,3,48.5,41
Perc_70,2018,812,67,13.9,29.8,87.3,43.5,7.3,93.1,32.1,61,20.7,83.1,11.9,50.5,47.8
Perc_80,2018,986,75.2,15.7,30.5,80.7,52.4,9,110.1,41.9,68.2,22.4,94.1,13.4,66.5,56.2
Perc_90,2018,1252,83.2,15.3,41.4,83.4,60.6,12.9,120.6,36,84.6,24,112.7,3.5,86.6,69.4
Perc_100,2018,1713,92.9,20.8,55.6,103.2,95.1,13.4,208.4,81.7,126.7,28.6,170.8,41.4,123.8,89.7
All,2018,0,61,12.6,24.7,76.2,40.9,7,81.2,27.9,53.3,17.9,75,8.7,50.3,43.8
Perc_10,2017,0,28.5,6.8,7.5,44,12.5,2.9,21.1,7.3,13.8,8.4,23.5,..,14.8,15
Perc_20,2017,209,37.2,9,9.9,55.8,17,3.6,28.6,9.1,19.5,10.7,31.4,1.3,17.8,18.8
Perc_30,2017,312,44.7,8,13.1,62.6,26.8,4.8,39,12.2,26.8,13.2,39.8,0.9,25.4,24.1
Perc_40,2017,410,52,10.4,18.4,66.6,33.7,7.3,54.6,19.3,35.3,15.5,56.4,4.6,32.6,27.2
Perc_50,2017,523,57.3,12,23.6,81,33.7,6.6,67.5,22.2,45.3,16.8,66.6,4.3,40.3,38.6
Perc_60,2017,648,61,12.2,23.7,79.8,40.2,10,82.6,32.9,49.7,18,69.6,1.3,48.7,39.5
Perc_70,2017,788,64.2,12.8,27.4,82.7,40.3,7,91.2,34.6,56.6,18.3,84,7.4,54.8,43.6
Perc_80,2017,961,70.3,15.2,35.3,74.7,43.5,8.3,115.9,48.6,67.3,21.1,100.7,4.1,64.3,53.4
Perc_90,2017,1217,79.3,15.3,40.5,81.4,53.4,11.1,125.5,41.2,84.3,24,108.1,7.8,83.8,69.3
