"","Sector","A","Alpha","Beta","MSE","direction"
"1","A03",2.5099225,0.586559833560656,0.001,0.0620589256427362,2
"2","C10T12",1.72125973950217,0.74197151837656,0.001,0.00143617850927293,27
"3","C13T15",2.08699208562263,0.598911028224242,0.40046276713641,0.0125010218197896,27
"4","C16",2.67835938737184,0.490173783474291,0.447838888169615,0.00943413545217195,1
"5","C17",2.41058469338353,0.553688679131362,0.442599818571199,0.00735190972613665,11
"6","C20",2.94419739414372,0.478270927987097,0.519248057046942,0.00745609341315064,27
"7","C21",3.01490901524503,0.474635958399236,0.434393661056209,0.028156909776755,11
"8","C24",1.27614746398511,0.811711890671394,0.184477567913002,0.0282452470663552,8
"9","C26",2.69717516598606,0.502552396369108,0.246818807977525,0.0649131382302346,12
"10","C27",0.876642246843483,0.904638205020571,0.0916087349951716,0.00705322733944429,27
"11","C29",2.46568850636539,0.563999555162223,0.394151548679444,0.00896212959505531,11
"12","C30",2.1960704004723,0.628237314596357,0.368233205601239,0.0441723350509884,27
"13","C33",2.6717873157316,0.514503461735178,0.40104555556542,0.0194423757876567,27
"14","E",2.22322201829717,0.641642921865572,0.30343278478531,0.0175057821566171,11
"15","G",2.43932504348431,0.644121051084122,0.00294783612318344,0.154867096832909,27
"16","I",1.88197092559072,0.6061380570104,0.390266101226705,0.0062632082425562,27
"17","J",2.08837526423592,0.678719075772495,0.303995027598631,0.000959851232809824,27
"18","K",2.28026947481135,0.62986217608268,0.369769885304229,0.00314292205242839,27
"19","L",3.5151317802929,0.223298976844581,0.139040717880551,0.0425569957673546,15
"20","M",2.48651066591383,0.559152024416796,0.427725893797415,0.00397258450788856,27
"21","R",2.46551071869745,0.513250365974988,0.480368673466748,0.00491674190465442,12
"22","S",2.50578557095214,0.595475407021241,0.283988778886877,0.0275328769406472,27
