"","Sector","A","Alpha","Beta","MSE"
"1","A03",3.39866372479518,0.414171699037828,0.001,0.0862961002103989
"2","C10T12",1.60938522774574,0.766034063824991,0.00898275874563867,0.00145428510994406
"3","C13T15",2.4808789821036,0.683948153461228,0.249218432048374,0.0229824735943672
"4","C16",1.19266629101949,0.880826216161876,0.0653829789272927,0.0535941191518972
"5","C17",4.58152129688953,0.365605063136296,0.565650624300653,0.00201909505035322
"6","C20",4.52735083155699,0.401598261091347,0.526858966917353,0.0127501914332147
"7","C21",4.43347202041504,0.411088183960184,0.494750301376611,0.0212432674175941
"8","C24",0.785284390392999,0.914329284432165,0.0322396469837633,0.0341565625752745
"9","C26",2.88791043916598,0.623925213969918,0.306247774681781,0.0631569326444627
"10","C27",1.02298166870993,0.907161755643627,0.0398684513265381,0.0390449925556984
"11","C29",2.08907619068042,0.733991422069422,0.202550268084523,0.0500433748043953
"12","C30",3.33760466934964,0.579749889421487,0.40054433465038,0.0383660403096372
"13","C33",2.47966156846996,0.686964887632307,0.246562319631575,0.0141767036239093
"14","E",1.86902807398164,0.79898807294153,0.142177550774139,0.0270940290060028
"15","G",3.58891212690548,0.384186069114062,0.001,0.0605129838308265
"16","I",3.88283023759248,0.388565356922302,0.577263156096642,0.0432043862468863
"17","J",3.15259666604554,0.596969038309209,0.332884460233637,0.000585083578427595
"18","K",5.08975401490071,0.316228360911088,0.615548134850834,0.000607676199927886
"19","L",5.66822513376357,0.146798716656924,0.481146513050516,0.0277521018347264
"20","M",5.73771891536461,0.183358317774536,0.816158507650247,0.000629628150451125
"21","R",2.92531825305097,0.606527838025745,0.321994807996851,0.00393466421749679
"22","S",3.97166284486705,0.425571700177616,0.348779352709755,0.0240837335495972
