"","good","int","int_pr","coef_1","coef_1_pr","coef_2","coef_2_pr","model_r2","model_ad_r2"
"1","1",-85.6802828091547,1.1861209985584e-06,31.5596265315963,1.12631413492296e-93,-10.588249724984,0.00443024068014611,0.973085880145201,0.972625809720332
"2","2",-12.6607641046478,1.10626914989677e-06,6.31704197532782,4.01815833700295e-67,-3.01702213890675,5.17017794278131e-08,0.923749155071354,0.922445721824711
"3","3",-7.78281735742264,0.898267010809474,23.6961948978812,1.09282283549201e-59,-24.0146402542847,0.0714864256009623,0.897422710059408,0.895669252111706
"4","4",-215.852158167123,2.25354252714443e-19,24.0758777807518,3.65826361984905e-56,29.9815715833789,2.73878174760025e-10,0.891895053783139,0.89004710598456
"5","5",-184.876794996406,0.000208100559373591,31.7715518396053,1.29139224101425e-47,6.2446299066885,0.555076687793071,0.836727327426821,0.833936341570869
"6","6",-37.1747617472552,4.66337090010666e-08,5.53592032477415,1.3575578471157e-43,2.29930558180964,0.0992304340721153,0.810969581695913,0.807738292494133
"7","7",-381.963321946299,6.0533975685756e-10,80.8415165899592,2.35951936230916e-66,-6.40398652568432,0.601797432436108,0.921444538932424,0.920101710538107
"8","7.1",-20.5078968358372,0.898121254125251,29.3493867968352,1.84375403360969e-44,-28.5029233626134,0.41245394542967,0.868135176239436,0.865416313893858
"9","7_other",-168.785311608522,0.00711147171241018,52.5492734858689,7.1532617284906e-58,-20.9499040177536,0.117612261076271,0.93023226309283,0.928793753053507
"10","8",-94.9459203264801,1.18023487190291e-40,9.16086837387469,1.19590822439279e-80,11.9827306572924,5.80145736603967e-22,0.959210610904843,0.958513356390396
"11","9",-190.643475876852,0.175479996264085,68.2542198937516,3.28473904795703e-62,-32.7428222862,0.284953857586371,0.907404779255142,0.905821954968905
"12","10",-95.5980973895784,3.74594192706133e-09,15.1817147747542,2.38621770914307e-16,3.31840497677061,0.261225660036664,0.462363247883917,0.452931024162583
"13","11",-230.532781885972,1.87839283925692e-08,48.4972257791954,3.97480807213689e-57,-3.46714810726334,0.67628773538202,0.887100607336158,0.885170703188058
"14","12",-87.0662628291065,0.139177022713115,38.3961935493379,9.79665863291398e-63,-22.4674666438867,0.0814485630964288,0.909085625450245,0.9075315335776
