"","good","int","int_pr","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",-133.479019625394,2.00961310712807e-76,31.4519800744975,1.05027655651423e-92,0.971148455468421,0.970903950853747
"2","2",-25.790168077524,1.73271569359449e-45,6.23172769072328,2.88855434643594e-61,0.901650663489203,0.900817194535722
"3","3",-117.979321988876,6.92946785978172e-52,23.6323514356503,1.8003771414185e-59,0.894522187202032,0.893628307432558
"4","4",-82.3181866386014,4.33209718080539e-28,24.5528101015947,4.58470334496863e-50,0.84780852948611,0.846518771261416
"5","5",-156.66563212128,1.38709505992108e-40,31.8365806220834,3.48104869923801e-48,0.836238464930554,0.834850655311321
"6","6",-26.8937516999734,7.14096221181255e-36,5.57246614225469,6.66878421653035e-44,0.80650786203559,0.804868098154536
"7","7",-410.802335943295,5.44883127993609e-60,80.7433496360107,5.72629743420133e-67,0.921260719706192,0.920593437669804
"8","7.1",-151.885152779381,6.42521642944138e-40,29.30833488463,9.33122313717657e-45,0.867214106279473,0.865859148180284
"9","7_other",-264.732242071669,9.8212390450712e-52,52.385414317788,6.31095863632219e-58,0.928439190370139,0.927708978026977
"10","8",-41.3741366242419,2.52147003923736e-50,9.35225207208546,2.04714260883131e-63,0.909557985242443,0.90879152749026
"11","9",-340.338989191669,6.18394573214207e-55,68.055274577656,1.46625784212295e-62,0.906491604012421,0.905699159978628
"12","10",-82.357834791076,1.20365155880938e-14,15.4190043971968,6.56913362582137e-17,0.456350824606019,0.451623440472159
"13","11",-246.014482242415,6.27741194604188e-51,48.4381985959687,1.09099264618935e-57,0.886931535806901,0.885973328483231
"14","12",-189.172743426787,1.64374750592261e-54,38.2315542707662,1.29712298469141e-62,0.906685487764753,0.905894686813607
