"","good","int","int_pr","coef_1","coef_1_pr","coef_2","coef_2_pr","model_r2","model_ad_r2"
"1","1",29.6479934967416,1.90662422421668e-07,0.0783273599678696,4.85270847518734e-76,-0.0994621116003233,0.0733524903712388,0.946134768041845,0.945213994845979
"2","2",7.65360167512485,3.142764907604e-23,0.0157499392384697,5.90830047994717e-62,-0.0337289922419345,6.00462954816705e-07,0.906603935176295,0.905007421247684
"3","3",22.2834846311399,0.00277512779534969,0.0619980308464599,7.01001161764637e-90,-0.262381870600835,0.000477482162459366,0.968723687409081,0.968189049587014
"4","4",7.67357703734977,0.156212973314817,0.0588599631410816,7.72515028015035e-47,0.324243064265941,7.24308191821088e-08,0.843653323140775,0.84098073037395
"5","5",-10.3501358866911,0.114442125219935,0.0848252700784569,2.37554459646614e-73,0.0694767119127114,0.299908257717054,0.94067914808079,0.939665116424052
"6","6",-2.11549069622571,0.106784260747566,0.0141638342260979,2.56418545957999e-47,0.0238047809731686,0.0789051621184369,0.836611857957392,0.833818898264356
"7","7",-14.8247450294344,0.0035170906945466,0.210714615878179,7.56546942165589e-114,-0.0595520853942589,0.235371860915474,0.987880252899303,0.987673077735188
"8","7.1",18.8831516000368,0.412855419081667,0.076146082960881,1.24500892086257e-61,-0.286560296383599,0.209586175270267,0.941595741794949,0.940391530285566
"9","7_other",10.6046837902832,0.037239602916484,0.135052822746476,6.49585866986237e-99,-0.210777892414331,4.19975713682178e-05,0.990053077575764,0.989847986391759
"10","8",-8.12701476365238,2.87536561267257e-08,0.0225993767310654,4.770109440966e-66,0.13135216895423,8.76083206915401e-16,0.927781064785787,0.926546553072723
"11","9",20.7195551707151,0.0415747794561015,0.17944023787349,8.13995285620271e-118,-0.329310848608252,0.00139409974210136,0.989615765639515,0.989438257359849
"12","10",-13.0600212101916,9.1369744394299e-06,0.0439392647720055,4.92736880215123e-25,0.0436916255451688,0.147427150678113,0.622156233274729,0.615527395262005
"13","11",-9.39447006301478,0.00540706811206716,0.128486063182055,2.19557513199021e-104,-0.0358214738587504,0.295582811321873,0.982415453990572,0.982114863460496
"14","12",17.4524310836291,0.00134875018065889,0.100583366382568,4.60440627537053e-108,-0.226277929448476,5.66271828004249e-05,0.984721519486857,0.984460348879795
