"","good","int","int_pr","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",43.8235567341871,0.0582687664397719,0.0813404367222126,0.730337370473026,0.00101056112410982,-0.00745545106975376
"2","2",12.3361411760668,4.15246467979019e-09,-0.0154155221211185,0.457599143447552,0.00468477788109948,-0.00375009688262007
"3","3",25.0416790427285,0.542986772567948,-0.0386364837233363,0.925170670813478,7.50726511754214e-05,-0.00839886741110263
"4","4",20.9641586987611,0.107238417051936,0.435657838619664,0.00170959020305843,0.0803140011651277,0.0725200520224593
"5","5",1.55040649365623,0.953347797322317,0.299753864598092,0.2700570547837,0.0102992906031573,0.00191199645572648
"6","6",0.959584243179188,0.761765096957774,0.0514355151678618,0.117529956027319,0.0206342812068384,0.0123345717255404
"7","7",30.6834719777744,0.49381303430869,0.342391383676052,0.447184707612355,0.0049051343736636,-0.00352787296215284
"8","7.1",11.1354128334527,0.906452305395028,0.098212263557833,0.916386018586614,0.000113041329945963,-0.0100898868197483
"9","7_other",31.1553217904902,0.534841271837511,0.129806956533201,0.791014695798323,0.000719950497795051,-0.00947678470120694
"10","8",-3.18816858339879,0.506940933093683,0.175107216085805,0.000575714308581137,0.0959506019175797,0.0882891663406101
"11","9",-0.715093745506698,0.994195100690654,0.609363797215918,0.534168454232037,0.00328354663899635,-0.00516320296575801
"12","10",0.843730960226634,0.839638215285185,0.0925505929358375,0.0531820640456002,0.0321200691942299,0.0237037219698318
"13","11",20.0547331337192,0.417934987009107,0.198451435401268,0.436964544110127,0.00512921900144681,-0.00330188931210018
"14","12",21.5966645964213,0.61466240383969,0.145952638768506,0.737575215263155,0.000955018106069465,-0.0075114647913368
