"","good","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",-0.419045645744206,1.894384140925e-30,0.985306675982531,0.985306675982531
"2","2",-0.106339870238336,1.90882188309967e-41,0.93843826481569,0.93843826481569
"3","3",-0.265055085048105,7.92957561354134e-05,0.979208869044944,0.979208869044944
"4","4",-0.185415239087188,6.77316839456792e-08,0.929141982692308,0.929141982692308
"5","5",-0.0280019779870863,0.648635684326478,0.938824206541445,0.938824206541445
"6","6",-0.00751017022183063,0.526364649881828,0.838492910580135,0.838492910580135
"7","7.1",-0.12027676284805,0.634208898059856,0.926205053678678,0.926205053678678
"8","7_other",-0.256089906972605,4.37051574987639e-09,0.991311478883623,0.991311478883623
"9","8",0.02514155519219,0.0019977889925948,0.967378796808087,0.967378796808087
"10","9",0.00531130416410105,0.96080214661881,0.987592046789021,0.987592046789021
"11","10",-0.0209353316570478,0.20265695845951,0.736361149977246,0.736361149977246
"12","11",-0.188485173532428,6.21428055919798e-08,0.980003288773009,0.980003288773009
"13","12",-0.210406353154199,5.81701470781734e-05,0.985395579722482,0.985395579722482
