"","good","anova_pr_1","anova_pr_2","anova_pr_3","anova_pr_4","anova_pr_5"
"1","1",2.26720463582472e-34,2.62788147002398e-52,1.00546338588302e-40,8.90341234377596e-71,NA
"2","2",1.35029778204175e-15,2.2811863600478e-53,1.07350791440881e-16,5.65102364354904e-60,NA
"3","3",5.47605659289792e-10,3.62613915965049e-16,NA,NA,NA
"4","4",1.64136514411896e-59,1.20558814447917e-64,9.97352130937754e-67,1.81771795776124e-74,NA
"5","5",0.000677476577172479,2.21592488509017e-06,NA,NA,NA
"6","6",0.44989224407315,0.0242113980232653,NA,NA,NA
"7","7.1",2.53619087350462e-19,3.07628765994281e-19,0.024563912043076,0.0271641392732168,NA
"8","7_other",4.6962418042325e-15,4.76796988518305e-31,NA,NA,NA
"9","8",1.69756383504987e-33,2.11136534462113e-32,8.11066188169474e-54,3.34492729273618e-53,NA
"10","9",3.00671426958589e-20,1.90298863727957e-31,NA,NA,NA
"11","10",2.92431199727159e-09,8.99681213561465e-10,NA,NA,NA
"12","11",2.91840317127827e-16,4.12748836778428e-31,NA,NA,NA
"13","12",2.02390065904057e-07,2.84094511970218e-21,NA,NA,NA
