"","good","int","int_pr","coef_1","coef_1_pr","model_r2","model_ad_r2"
"1","1",17.780993494447,2.26720463582465e-34,0.0662289498564877,1.00777267622909e-55,0.877927203712041,0.876892688489262
"2","2",3.79732804925127,1.35029778204177e-15,0.0113554505524826,4.04092263345745e-23,0.565854406875334,0.5621752069336
"3","3",-3.98043805623829,5.47605659289733e-10,0.0644601949011073,1.64744181912218e-80,0.953569164757956,0.953175683103362
"4","4",33.0245971395205,1.64136514411891e-59,0.0486825141676528,1.26528404453031e-41,0.788556296986055,0.786764401197801
"5","5",-2.88407204022876,0.00067747657717243,0.0741277109044974,7.28615268509396e-71,0.932358783883318,0.931785553238261
"6","6",0.179094918958436,0.449892244073141,0.0121148542644797,1.64275208914899e-45,0.818258881065814,0.816718702091795
"7","7.1",-9.52403841435484,2.53619087350471e-19,0.0719213293319111,5.02081941484773e-61,0.938131606000878,0.937500295858029
"8","7_other",-8.53214453282762,4.69624180423132e-15,0.109687854941486,8.24146666883709e-75,0.96761966899474,0.96728925745387
"9","8",3.89452965055256,1.69756383504999e-33,0.0192613429378375,9.57404558329198e-68,0.923610281280114,0.922962910782488
"10","9",-11.1603091076795,3.00671426958492e-20,0.169318718224904,2.91469465384959e-102,0.980128794218365,0.979960394169369
"11","10",-5.97491782048108,2.9243119972716e-09,0.0284567724160634,1.94373199669526e-26,0.627808411919456,0.624571963327451
"12","11",-10.4548907012562,2.91840317127802e-16,0.108691399479733,1.59301520720046e-75,0.943601575512369,0.943123622762474
"13","12",-4.05699506952545,2.02390065904036e-07,0.0912804933104941,1.04921647097821e-86,0.963539040294074,0.963230049110125
