Income Group,Year,Good,Good Name,Price,Income Amount,Spend
1,2008,1,1,83.5,140.1,26.4
2,2008,1,1,83.5,180.5,33
3,2008,1,1,83.5,224.5,37.9
4,2008,1,1,83.5,278,43.7
5,2008,1,1,83.5,333.8,50.1
6,2008,1,1,83.5,385,52.1
7,2008,1,1,83.5,432.2,55.2
8,2008,1,1,83.5,501.9,63.4
9,2008,1,1,83.5,563.7,65.9
10,2008,1,1,83.5,824.3,79.4
1,2009,1,1,88.1,143.9,25.42069279
2,2009,1,1,88.1,187.7,33.6652418
3,2009,1,1,88.1,243.9,41.12459567
4,2009,1,1,88.1,284.4,43.08758353
5,2009,1,1,88.1,327.5,49.56544347
6,2009,1,1,88.1,361.4,51.33213255
7,2009,1,1,88.1,414.3,56.43590098
8,2009,1,1,88.1,473.1,63.60080667
9,2009,1,1,88.1,539.3,68.01752936
10,2009,1,1,88.1,785.2,79.89360592
1,2010,1,1,91.1,161.3,26.31987837
2,2010,1,1,91.1,189.4,33.38366925
3,2010,1,1,91.1,234.4,38.70570348
4,2010,1,1,91.1,293.5,44.60832326
5,2010,1,1,91.1,337.7,49.05947916
6,2010,1,1,91.1,380.9,52.63975673
7,2010,1,1,91.1,438.4,58.92943355
8,2010,1,1,91.1,483.6,59.21972633
9,2010,1,1,91.1,582.8,71.31525866
10,2010,1,1,91.1,831.5,80.70139176
1,2011,1,1,96,152.5,27.6669712
2,2011,1,1,96,189,32.21496647
3,2011,1,1,96,247,38.75270967
4,2011,1,1,96,299.2,46.52220158
5,2011,1,1,96,343.8,51.82819606
6,2011,1,1,96,389,51.92294596
7,2011,1,1,96,434,57.41844024
8,2011,1,1,96,492.2,62.81918462
9,2011,1,1,96,586.5,69.54642762
10,2011,1,1,96,789.2,80.34791638
1,2012,1,1,99.1,161.6,27.1715065
2,2012,1,1,99.1,187.1,34.64133646
3,2012,1,1,99.1,241.6,41.17743768
4,2012,1,1,99.1,299.2,44.35211541
5,2012,1,1,99.1,343.5,51.44845388
6,2012,1,1,99.1,383,55.27674174
7,2012,1,1,99.1,424.2,59.19840247
8,2012,1,1,99.1,505.6,67.04172393
9,2012,1,1,99.1,558.5,67.32184255
10,2012,1,1,99.1,823.1,82.54162111
1,2013,1,1,102.9,159,27.87404575
2,2013,1,1,102.9,189.1,34.54553867
3,2013,1,1,102.9,257.1,40.66868971
4,2013,1,1,102.9,309,45.32959572
5,2013,1,1,102.9,355.8,49.62494047
6,2013,1,1,102.9,413.4,57.85006873
7,2013,1,1,102.9,453.8,59.40370407
8,2013,1,1,102.9,512.3,65.61824542
9,2013,1,1,102.9,592.9,71.92417708
10,2013,1,1,102.9,818.6,84.62743072
1,2014,1,1,102.7,154.1,27.25136452
2,2014,1,1,102.7,201.8,34.74097794
3,2014,1,1,102.7,261.2,42.05011876
4,2014,1,1,102.7,296.8,46.38146146
5,2014,1,1,102.7,362.3,53.41989336
6,2014,1,1,102.7,409.4,54.50272904
7,2014,1,1,102.7,473.7,59.46572588
8,2014,1,1,102.7,523.3,61.54116093
9,2014,1,1,102.7,612.6,68.94053805
10,2014,1,1,102.7,867.6,82.02480247
1,2015,1,1,100,153.5,27.50621593
2,2015,1,1,100,202.7,34.31557232
3,2015,1,1,100,257.5,41.39371909
4,2015,1,1,100,297.4,45.96315561
5,2015,1,1,100,361.7,51.78694726
6,2015,1,1,100,407.6,53.75807674
7,2015,1,1,100,466.9,56.80436776
8,2015,1,1,100,514.6,60.74662672
9,2015,1,1,100,594.7,68.45195105
10,2015,1,1,100,869.6,81.35388947
1,2016,1,1,97.6,140.5,25.85642982
2,2016,1,1,97.6,205.4,32.62835192
3,2016,1,1,97.6,242.7,38.34490953
4,2016,1,1,97.6,292.2,43.26994378
