Income Group,Year,Good,Good Name,Price,Income Amount,Spend,Price_1,Price_2,Price_3,Price_4,Price_5,Price_6,Price_7,Price_7.1,Price_7_other,Price_8,Price_9,Price_10,Price_11,Price_12
1,2008,1,1,83.5,140.1,26.4,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
2,2008,1,1,83.5,180.5,33,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
3,2008,1,1,83.5,224.5,37.9,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
4,2008,1,1,83.5,278,43.7,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
5,2008,1,1,83.5,333.8,50.1,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
6,2008,1,1,83.5,385,52.1,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
7,2008,1,1,83.5,432.2,55.2,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
8,2008,1,1,83.5,501.9,63.4,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
9,2008,1,1,83.5,563.7,65.9,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
10,2008,1,1,83.5,824.3,79.4,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
1,2009,1,1,88.1,143.9,25.42069279,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
2,2009,1,1,88.1,187.7,33.6652418,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
3,2009,1,1,88.1,243.9,41.12459567,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
4,2009,1,1,88.1,284.4,43.08758353,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
5,2009,1,1,88.1,327.5,49.56544347,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
6,2009,1,1,88.1,361.4,51.33213255,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
7,2009,1,1,88.1,414.3,56.43590098,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
8,2009,1,1,88.1,473.1,63.60080667,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
9,2009,1,1,88.1,539.3,68.01752936,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
10,2009,1,1,88.1,785.2,79.89360592,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
1,2010,1,1,91.1,161.3,26.31987837,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
2,2010,1,1,91.1,189.4,33.38366925,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
3,2010,1,1,91.1,234.4,38.70570348,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
4,2010,1,1,91.1,293.5,44.60832326,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
5,2010,1,1,91.1,337.7,49.05947916,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
6,2010,1,1,91.1,380.9,52.63975673,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
7,2010,1,1,91.1,438.4,58.92943355,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
8,2010,1,1,91.1,483.6,59.21972633,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
9,2010,1,1,91.1,582.8,71.31525866,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
10,2010,1,1,91.1,831.5,80.70139176,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
1,2011,1,1,96,152.5,27.6669712,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
2,2011,1,1,96,189,32.21496647,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
3,2011,1,1,96,247,38.75270967,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
4,2011,1,1,96,299.2,46.52220158,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
5,2011,1,1,96,343.8,51.82819606,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
6,2011,1,1,96,389,51.92294596,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
7,2011,1,1,96,434,57.41844024,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
8,2011,1,1,96,492.2,62.81918462,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
