"","Sector","A","Alpha","Beta","MSE"
"1","A03",1.96334008203861,0.699977410153939,0.0111607693228559,0.0556358040795213
"2","C10T12",1.97815396371539,0.702712981542711,0.0303391202578236,0.00167868103788309
"3","C13T15",2.08701122228732,0.751322541349096,0.184926481796562,0.0327842299392437
"4","C16",1.478001870342,0.834146901732591,0.105609182758467,0.0459646679219634
"5","C17",4.95571239119967,0.294358181134852,0.572962105975177,0.00285926129446185
"6","C20",1.57234502585725,0.810860953336773,0.129105245747023,0.0134453165773165
"7","C21",6.35710907677101,0.141806892485386,0.797962993107863,0.0143246118726112
"8","C24",1.09971467366565,0.872464673576259,0.0687833668143668,0.0377297847514906
"9","C26",2.91071895870309,0.618359490661247,0.305748842606522,0.0632099587424555
"10","C27",1.27371071435409,0.86850128193065,0.0754761676163874,0.0487264162533373
"11","C29",3.18804962525756,0.584921843368833,0.362279653974929,0.0096238398443256
"12","C30",5.33834884018848,0.258876603476943,0.633377277507019,0.0171090113483806
"13","C33",4.20675535082268,0.404833824337173,0.431977314994564,0.0422107845116267
"14","E",3.285889761268,0.567794128587681,0.339537414264354,0.0182071168821879
"15","G",3.62544811781607,0.3666142354965,0.001,0.0772435152108502
"16","I",1.75173896622252,0.810353551776276,0.129078915539901,0.0602217613855899
"17","J",2.80417951774302,0.656869033720305,0.279328093138237,0.000960864763995062
"18","K",5.77691752980418,0.214948728193987,0.722389272664243,0.00045847973779118
"19","L",5.05949162398839,0.153579742061008,0.36050264038188,0.0252480298858144
"20","M",4.1053550844943,0.431971605118494,0.477853109269686,0.00244493066269049
"21","R",2.87955293338967,0.614800247847227,0.314268169173977,0.0039493765328856
"22","S",4.14091764665356,0.409680442960806,0.475118973185983,0.0246221054482587
