Year,1,2,3,4,5,6,7,7.1,7_other,8,9,10,11,12
2008,83.5,69.5,104.4,80.1,86,82.8,83.7,95.9,83.7,82.5,95.4,55.1,82.3,90
2009,88.1,72.5,96.3,83.5,88.7,85.1,84.4,97.2,84.4,83.3,96.6,59.3,84.2,92
2010,91.1,76.5,95.3,83.8,91.4,87.6,91.5,101.4,91.5,87.4,98.4,62.4,86.6,94.1
2011,96,83.2,97.5,88.4,95.7,90.5,98.6,102.2,98.6,90.9,98.5,65.7,90.5,96.5
2012,99.1,88.2,98.3,92.8,98.5,93.2,100.9,101.5,100.9,94.5,98.7,71.4,93.3,98.7
2013,102.9,93.7,99.2,96.6,99.1,95.5,101.9,100.6,101.9,97.4,99.7,83.6,95.8,99.7
2014,102.7,97.9,99.7,99.5,100,98.1,102.2,100.9,102.2,98.6,100.6,92.2,98.1,99.7
2015,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2016,97.6,101.4,100.2,100.2,99.9,102.1,100.5,98.5,100.5,102.7,100.4,104.7,102.4,101.1
2017,99.8,105.9,102.6,102,102.5,104.8,105.1,99.9,105.1,104.5,102.4,108.7,105.6,102.5
2018,101.8,110.6,103.5,104.4,104.2,107.4,109.8,103.2,109.8,105.6,105.4,111.8,108.4,102.4
2019,103.2,114.4,102.5,106.2,105.1,110.1,112,104.6,112,109.7,107.5,115.2,111.3,103.7
2020,103.9,116.8,101,105.8,105,112.6,112.4,108,112.4,114,109.8,118.2,112.3,105.1
2021,104.2,119.9,101.3,108.3,108.7,114.1,120.4,116.1,120.4,115.9,112.2,121.5,116.2,106
2022,115.5,125.5,109,128.3,119.7,117.4,134.2,125.2,134.2,118.6,117.8,126.5,125.8,109.9
