Year,Q_auto,Q_all,Q_rem,K_Auto,K_all,K_rem,L_auto,L_all,L_rem
2010,10.73782826,13.04089407,12.93558695,8.152486076,12.3780029,12.36327723,8.405476518,13.4482745,13.44179791
2011,10.87689559,13.09881221,12.98407325,8.138272639,12.4077106,12.39362218,8.381378967,13.44865059,13.44233108
2012,10.91088327,13.06762986,12.94466989,8.136518252,12.44080874,12.42720618,8.429007016,13.4545742,13.44798468
2013,11.005705,13.0790441,12.94463788,8.196436811,12.46982057,12.45578802,8.496448296,13.46735108,13.46039003
2014,11.0712387,13.11091327,12.97156956,8.265650166,12.50223243,12.48766999,8.525021669,13.49766635,13.49071745
2015,11.12750707,13.10267788,12.95332181,8.367300102,12.53691478,12.52133584,8.612619728,13.52622005,13.51884695
2016,11.21444261,13.13134809,12.97228045,8.509765676,12.58164883,12.56445663,8.650598976,13.54268147,13.53514739
2017,11.26185558,13.18126661,13.02263033,8.602453035,12.63565459,12.61777824,8.599632533,13.5538118,13.54673293
2018,11.26279733,13.2049425,13.05016294,8.648747631,12.67430596,12.65629121,8.6811824,13.55988612,13.55225018
2019,11.22247155,13.20697967,13.05911959,8.707648248,12.71689127,12.69857746,8.631789644,13.57152622,13.56434401
2020,10.93759687,13.09329701,12.97020005,8.754791764,12.73941486,12.72064026,8.656790946,13.55228743,13.54477912
2021,10.98125577,13.18304861,13.06583514,8.76029622,12.76411005,12.74569562,8.638098813,13.58178238,13.57462856
